ethnicity,Kscope GO Welcome,Welcome Reception,DB Sessions,EPM Sessions,Food and Beverage Table,Social Media Lounge,OAUX Table,General Session,BI and Reporting Sessions,InterRel Booth,OTN Lounge,APEX Sessions,Sunset Station,Lumpy has escaped,See you in Orlando,Happy Hour Bar,Exhibit hall,K-Team Member,K-Team Member Located,Mariachi band,Women in Tech Lunch ,Cheers Where Everybody Knows Your Name,South Bar,East Bar,Conference Committee Member ,West Bar,6 Degrees of Separation,North Bar,Puppy Lounge,Chi Gung,ODTUG Board Member,Werewolf ,Last Call,Sunset Event Registration ,5 kilometers is 3.1 miles,David Bowie
25-Jun,95,205,,,,26,,,,28,,,,,,,,27,27,33,,,27,26,25,25,,20,,,15,,,,,
26-Jun,38,,52,51,57,37,55,105,30,61,58,,,,,24,,12,12,,,,,,,,24,,,2,,,13,,,8
27-Jun,10,,49,42,36,32,41,,28,,13,32,,66,,30,52,,,,,0,,,,,,,20,4,,11,,,9,
28-Jun,4,,65,43,39,22,18,,33,,12,38,71,,,,,49,,,31,0,,,,,,,,14,,3,,12,,
29-Jun,1,,,,1,,,,,,,,,,54,,,,,,,,,,5,,,,,,,,,,,
